lon,lat,rate
-51.363151397366856,-27.52492829747846,1500.0
-51.36179767799533,-27.525965043293773,1500.0
-51.3642589372996,-27.524191662293898,1500.0
-51.361336198833335,-27.52640156784759,1500.0
-51.3644435398855,-27.524164379509276,1500.0
-51.361090084223946,-27.526374285062975,1500.0
-51.3653665183509,-27.5246009040631,1500.0
-51.364628142288154,-27.524137096724665,1500.0
-51.3609362659906,-27.526319719493753,1500.0
-51.365581882155944,-27.524600904063092,1500.0
-51.36512040013792,-27.524246227863113,1500.0
-51.36475121041954,-27.524137096724665,1500.0
-51.36635103290529,-27.52522840810921,1500.0
-51.36570495204306,-27.525146559755367,1500.0
-51.36490505102259,-27.524191662293894,1500.0
-51.360874755982614,-27.526265153924523,1500.0
-51.36665869331523,-27.52509199418614,1500.0
-51.365951087510766,-27.525255690893818,1500.0
-51.366781761568426,-27.52498286304769,1500.0
-51.360813246096654,-27.526210588355298,1500.0
-51.36684330029876,-27.52492829747846,1500.0
-51.366904838967976,-27.524873731909228,1500.0
-51.366966377576105,-27.52481916634001,1500.0
-51.36705868247246,-27.524764600770784,1500.0
-51.36075175763367,-27.526128740001454,1500.0
-51.36715098555187,-27.524682752416936,1500.0
-51.36724329028022,-27.524628186847707,1500.0
-51.36736635949516,-27.52454633849387,1500.0
-51.36745866223859,-27.52449177292464,1500.0
-51.367550966692015,-27.52443720735541,1500.0
-51.36773556805585,-27.524409924570797,1500.0
-51.36807399669271,-27.524437207355415,1500.0
-51.361428670442336,-27.525910477724548,1500.0
-51.36099795523204,-27.525910477724548,1500.0
-51.36838165389596,-27.5244099245708,1500.0
-51.36853548663543,-27.52438264178619,1500.0
-51.36865855472031,-27.524355359001575,1500.0
-51.36875085659327,-27.52432807621696,1500.0
-51.368812393887985,-27.524273510647735,1500.0
-51.36985842325945,-27.523264047617033,1500.0
-51.36973535917547,-27.523864268878533,1500.0
-51.36893546319421,-27.52424622786312,1500.0
-51.36998148783272,-27.52323676483242,1500.0
-51.3691200619011,-27.523891551663144,1500.0
-51.37007379094217,-27.523209482047804,1500.0
-51.36930465982935,-27.523891551663144,1500.0
-51.37019685789704,-27.52318219926319,1500.0
-51.36964308296944,-27.523809703309304,1500.0
-51.36945849153046,-27.523836986093915,1500.0
-51.3703199247603,-27.523127633693967,1500.0
-51.369550792639885,-27.523782420524693,1500.0
-51.37044299153189,-27.523045785340123,1500.0
-51.37056605827292,-27.522882088632443,1500.0
-51.37065835825251,-27.522827523063214,1500.0
-51.3707198943103,-27.5228002402786,1500.0
-51.37078143029173,-27.522800240278595,1500.0
-51.370842966227315,-27.522772957493988,1500.0
-51.36192108859825,-27.52484644912462,1500.0
-51.361644202065776,-27.52490101469385,1500.0
-51.36155190663638,-27.524955580263068,1500.0
-51.37090450773587,-27.52269110914015,1500.0
-51.370966043518735,-27.522663826355533,1500.0
-51.37102758481343,-27.522581978001696,1500.0
-51.36167500792955,-27.52476460077078,1500.0
-51.37108912045884,-27.522527412432463,1500.0
-51.362013443757185,-27.524600904063092,1500.0
-51.3618288534786,-27.524655469632318,1500.0
-51.37115066152441,-27.522472846863234,1500.0
-51.361859628607085,-27.5246009040631,1500.0
-51.371212197017094,-27.522418281294005,1500.0
-51.362075003724605,-27.524464490140033,1500.0
-51.36198270875326,-27.52449177292464,1500.0
-51.37127373799093,-27.522145453447877,1500.0
